direction,year,month,day,class,class_count
QB,23,1,27,13,34
QB,23,8,24,14,119
QB,23,3,20,6,763
QB,23,12,11,5,3107
QB,23,10,25,4,227
QB,23,6,1,7,99
QB,23,1,31,9,487
QB,23,11,18,7,30
QB,23,10,29,5,369
QB,23,2,10,10,94
QB,23,1,15,9,135
QB,23,4,1,4,186
QB,23,10,12,4,619
QB,23,11,16,1,84
QB,23,8,2,1,108
QB,23,2,25,4,128
QB,23,8,6,6,85
QB,23,6,13,4,275
QB,23,10,29,4,42
QB,23,6,2,11,58
QB,23,10,14,11,7
QB,23,7,22,14,94
QB,23,6,28,14,25
QB,23,8,2,14,21
QB,23,3,15,11,13
QB,23,7,5,2,34454
QB,23,12,30,2,37613
QB,23,4,13,5,2862
QB,23,6,16,14,310
QB,23,6,1,9,1842
QB,23,3,16,9,1603
QB,23,1,2,3,4483
QB,23,6,16,5,3186
QB,23,11,25,5,1539
QB,23,9,11,14,36
QB,23,5,3,8,286
QB,23,12,22,8,249
QB,23,5,1,8,241
QB,23,7,14,10,30
QB,23,9,8,7,48
QB,23,7,11,8,312
QB,23,2,27,4,205
QB,23,1,28,1,48
QB,23,12,9,12,42
QB,23,6,13,12,61
QB,23,3,21,7,78
QB,23,9,30,4,160
QB,23,7,6,14,38
QB,23,12,24,10,2
QB,23,9,20,10,30
QB,23,8,14,14,35
QB,23,8,20,10,1
QB,23,10,10,3,4844
QB,23,3,12,3,4006
QB,23,2,21,5,3349
QB,23,2,7,4,237
QB,23,10,16,4,389
QB,23,12,12,14,138
QB,23,9,30,7,17
QB,23,3,28,7,89
QB,23,5,10,11,62
QB,23,1,14,6,338
QB,23,4,28,14,57
QB,23,1,28,4,167
QB,23,1,2,13,33
QB,23,5,16,12,22
QB,23,6,30,7,89
QB,23,10,8,1,70
QB,23,9,16,12,14
QB,23,10,7,12,27
QB,23,12,29,10,14
QB,23,6,25,12,38
QB,23,10,4,2,26380
QB,23,11,25,2,36934
QB,23,12,6,3,6577
QB,23,6,28,3,6348
QB,23,11,29,2,32329
QB,23,3,10,5,3061
QB,23,10,8,4,140
QB,23,12,18,6,448
QB,23,6,21,5,3175
QB,23,6,22,8,296
QB,23,12,2,9,742
QB,23,2,20,11,24
QB,23,11,3,1,88
QB,23,1,15,6,30
QB,23,11,22,4,215
QB,23,2,1,11,40
QB,23,4,19,11,62
QB,23,3,26,7,19
QB,23,4,11,12,64
QB,23,11,30,11,40
QB,23,1,10,8,11
QB,23,10,6,1,63
QB,23,9,26,11,37
QB,23,12,3,11,13
QB,23,4,28,10,31
QB,23,9,24,1,22
QB,23,5,27,14,13
QB,23,2,1,10,18
QB,23,6,22,3,6701
QB,23,4,15,2,39133
QB,23,5,1,2,32529
QB,23,11,22,2,33973
QB,23,2,6,5,3272
QB,23,4,29,2,30249
QB,23,9,27,2,25610
QB,23,5,16,2,13173
QB,23,1,27,5,3224
QB,23,2,24,6,514
QB,23,10,6,6,657
QB,23,10,15,1,19
QB,23,3,6,5,3238
QB,23,2,8,6,757
QB,23,3,7,4,317
QB,23,3,24,6,716
QB,23,1,22,9,432
QB,23,7,31,6,783
QB,23,4,15,12,51
QB,23,1,27,10,39
QB,23,10,6,10,25
QB,23,10,10,12,30
QB,23,11,7,11,46
QB,23,7,2,12,29
QB,23,5,20,4,209
QB,23,3,10,1,47
QB,23,1,1,12,12
QB,23,1,11,10,11
QB,23,9,23,11,22
QB,23,3,21,2,28836
QB,23,8,13,2,36152
QB,23,7,29,5,1845
QB,23,8,13,3,3530
QB,23,1,3,3,6240
QB,23,4,12,5,3091
QB,23,6,30,5,2960
QB,23,2,17,9,1514
QB,23,12,12,4,262
QB,23,3,13,9,1456
QB,23,7,19,6,794
QB,23,9,7,5,3444
QB,23,12,27,5,3023
QB,23,4,21,6,744
QB,23,8,26,3,3869
QB,23,8,4,1,121
QB,23,5,30,9,1619
QB,23,11,11,8,120
QB,23,7,18,14,108
QB,23,9,24,4,203
QB,23,3,14,7,74
QB,23,10,9,12,32
QB,23,4,27,5,3575
QB,23,11,10,2,31952
QB,23,5,22,11,33
QB,23,12,31,3,3514
QB,23,5,22,3,6910
QB,23,8,31,8,268
QB,23,4,21,14,65
QB,23,3,9,5,3253
QB,23,2,4,1,7
QB,23,8,8,1,109
QB,23,4,11,6,903
QB,23,3,12,9,424
QB,23,8,30,6,758
QB,23,4,13,4,393
QB,23,9,20,4,281
QB,23,1,26,8,174
QB,23,9,19,10,11
QB,23,6,12,7,98
QB,23,6,9,11,54
QB,23,8,7,7,81
QB,23,4,18,7,96
QB,23,3,11,7,81
QB,23,12,21,7,49
QB,23,7,20,2,30781
QB,23,8,17,9,1653
QB,23,8,16,4,231
QB,23,10,19,7,31
QB,23,10,27,8,277
QB,23,3,28,12,61
QB,23,4,8,4,174
QB,23,12,8,8,296
QB,23,6,7,11,58
QB,23,10,26,1,179
QB,23,12,1,4,283
QB,23,5,27,7,25
QB,23,5,31,1,133
QB,23,7,17,1,118
QB,23,7,8,8,159
QB,23,7,16,8,78
QB,23,5,10,12,70
QB,23,5,17,10,32
QB,23,1,29,14,10
QB,23,9,10,10,6
QB,23,10,20,12,26
QB,23,6,5,3,6833
QB,23,8,4,5,3205
QB,23,10,17,5,3732
QB,23,3,22,5,3308
QB,23,4,22,3,4704
QB,23,7,6,5,3501
QB,23,2,24,3,3317
QB,23,2,23,8,183
QB,23,12,12,12,55
QB,23,11,17,1,120
QB,23,12,21,8,303
QB,23,2,8,14,34
QB,23,8,11,11,45
QB,23,3,10,4,270
QB,23,8,16,14,31
QB,23,4,23,8,70
QB,23,11,27,1,55
QB,23,5,2,10,48
QB,23,10,21,7,20
QB,23,5,15,10,21
QB,23,4,2,2,38995
QB,23,7,27,2,27464
QB,23,7,12,2,29856
QB,23,8,29,3,5962
QB,23,10,19,3,4350
QB,23,12,16,3,4815
QB,23,7,30,4,201
QB,23,5,15,3,3377
QB,23,1,19,9,1732
QB,23,6,13,6,864
QB,23,6,6,7,82
QB,23,11,16,8,302
QB,23,5,28,14,223
QB,23,2,3,1,30
QB,23,12,25,6,48
QB,23,1,19,10,31
QB,23,12,26,11,16
QB,23,5,27,11,19
QB,23,10,24,11,36
QB,23,2,3,2,33056
QB,23,9,2,8,145
QB,23,10,20,2,11045
QB,23,7,14,3,6253
QB,23,7,24,6,748
QB,23,9,9,3,4116
QB,23,12,1,3,6241
QB,23,2,12,12,27
QB,23,9,28,7,51
QB,23,10,12,5,3388
QB,23,10,20,9,1047
QB,23,10,17,3,5214
QB,23,4,1,6,322
QB,23,2,3,6,728
QB,23,6,16,8,296
QB,23,5,24,7,95
QB,23,4,28,1,57
QB,23,1,16,4,192
QB,23,11,29,12,74
QB,23,1,13,1,40
QB,23,7,22,11,15
QB,23,3,14,14,90
QB,23,5,26,7,72
QB,23,7,24,10,24
QB,23,9,4,11,22
QB,23,10,17,12,50
QB,23,2,17,10,44
QB,23,10,27,2,29335
QB,23,7,5,3,6630
QB,23,2,7,8,322
QB,23,3,20,5,3218
QB,23,2,27,5,1922
QB,23,8,23,11,26
QB,23,1,3,5,2843
QB,23,12,18,3,5114
QB,23,5,4,3,6913
QB,23,2,13,6,647
QB,23,6,30,6,680
QB,23,8,31,6,657
QB,23,5,18,8,319
QB,23,11,1,1,63
QB,23,12,4,6,687
QB,23,7,13,4,293
QB,23,3,6,12,45
QB,23,5,4,8,273
QB,23,2,13,11,16
QB,23,2,11,14,11
QB,23,9,30,6,180
QB,23,12,22,7,40
QB,23,5,17,1,96
QB,23,11,27,11,27
QB,23,7,27,12,44
QB,23,7,24,14,35
QB,23,4,12,7,60
QB,23,11,28,3,5891
QB,23,8,24,2,26581
QB,23,12,1,9,1548
QB,23,2,21,3,6413
QB,23,5,10,4,274
QB,23,6,14,3,6819
QB,23,2,21,9,1582
QB,23,10,30,3,5656
QB,23,4,13,9,1670
QB,23,8,3,8,282
QB,23,5,15,14,25
QB,23,4,20,14,173
QB,23,11,1,10,55
QB,23,12,10,14,16
QB,23,5,2,1,76
QB,23,5,9,7,95
QB,23,7,17,10,39
QB,23,9,8,1,95
QB,23,1,13,12,68
QB,23,8,10,7,99
QB,23,1,14,12,36
QB,23,9,27,7,46
QB,23,6,4,12,37
QB,23,1,22,7,13
QB,23,12,28,14,76
QB,23,8,10,9,1654
QB,23,12,13,9,1542
QB,23,3,9,12,63
QB,23,10,25,9,1192
QB,23,3,7,9,1590
QB,23,3,8,4,276
QB,23,7,3,8,223
QB,23,10,21,9,432
QB,23,7,14,14,95
QB,23,7,13,7,126
QB,23,3,31,7,144
QB,23,2,2,14,15
QB,23,1,2,7,19
QB,23,1,20,10,25
QB,23,7,30,6,81
QB,23,8,26,7,26
QB,23,11,10,7,63
QB,23,11,20,10,18
QB,23,4,22,14,21
QB,23,9,28,2,23499
QB,23,5,12,3,6403
QB,23,9,14,3,5374
QB,23,8,12,3,4152
QB,23,3,25,3,4587
QB,23,8,16,9,1687
QB,23,7,5,9,1473
QB,23,8,22,5,3432
