direction,year,month,day,class,class_count
QB,24,3,19,10,14
QB,24,1,13,14,18
QB,24,2,4,1,43
QB,24,7,28,12,26
QB,24,4,5,10,18
QB,24,5,19,2,36359
QB,24,7,30,9,1664
QB,24,3,2,3,4137
QB,24,6,19,5,3408
QB,24,3,8,5,3085
QB,24,5,1,6,649
QB,24,2,21,4,227
QB,24,4,29,4,194
QB,24,8,24,1,136
QB,24,6,30,8,83
QB,25,3,10,2,12237
QB,24,2,12,10,13
QB,24,6,23,12,31
QB,24,2,8,5,3478
QB,24,8,29,9,1608
QB,24,4,12,4,218
QB,24,7,17,14,43
QB,24,7,30,7,47
QB,24,3,4,1,68
QB,24,7,20,7,28
QB,24,2,1,7,76
QB,24,7,13,12,36
QB,24,6,12,14,19
QB,24,5,5,2,36196
QB,24,6,17,3,6299
QB,24,5,14,6,637
QB,24,2,8,2,33683
QB,24,7,10,4,15
QB,24,6,7,4,265
QB,24,1,28,6,86
QB,24,3,15,1,106
QB,24,7,20,11,25
QB,24,4,1,7,44
QB,24,1,10,7,32
QB,24,2,26,2,31699
QB,24,7,23,6,731
QB,24,6,16,3,3744
QB,24,3,9,2,31423
QB,24,4,4,3,5750
QB,24,2,7,5,3409
QB,24,5,23,3,5628
QB,24,3,12,11,37
QB,24,6,7,6,628
QB,24,4,30,7,50
QB,24,8,3,7,18
QB,24,2,4,6,78
QB,24,3,17,5,1034
QB,24,8,26,8,192
QB,24,5,17,11,29
QB,24,1,1,4,119
QB,24,8,30,11,44
QB,24,7,30,12,59
QB,24,1,13,4,158
QB,24,1,18,11,33
QB,24,1,4,10,14
QB,25,1,17,5,2214
QB,24,8,26,2,31791
QB,24,8,28,3,5988
QB,24,2,28,5,3197
QB,24,2,6,9,1464
QB,24,1,25,9,1430
QB,24,4,9,6,617
QB,24,5,14,8,236
QB,24,2,27,12,47
QB,24,7,5,1,90
QB,24,3,26,8,251
QB,24,6,26,11,45
QB,24,8,17,11,28
QB,24,6,22,11,18
QB,24,7,10,8,6
QB,24,7,17,11,32
QB,24,7,8,6,651
QB,24,1,2,8,189
QB,24,3,31,4,143
QB,24,7,22,7,51
QB,24,6,3,8,191
QB,24,2,9,14,39
QB,24,3,7,11,40
QB,24,6,5,12,67
QB,24,4,12,1,49
QB,24,6,6,10,12
QB,24,3,2,10,2
QB,24,2,13,7,33
QB,24,4,1,10,20
QB,24,3,3,2,38620
QB,24,7,17,2,31740
QB,24,3,6,8,235
QB,24,4,12,9,1294
QB,24,7,1,3,5938
QB,24,7,20,1,132
QB,24,3,1,8,278
QB,24,4,7,9,456
QB,25,2,26,2,12447
QB,24,6,9,8,79
QB,24,6,26,12,54
QB,24,3,6,11,36
QB,24,2,20,10,27
QB,25,3,6,2,11144
QB,24,4,26,14,24
QB,24,4,27,12,17
QB,24,1,14,2,36864
QB,24,7,12,3,5956
QB,24,5,8,2,15741
QB,24,2,6,11,39
QB,24,1,25,8,266
QB,24,6,29,11,33
QB,24,8,22,14,64
QB,24,5,7,11,34
QB,24,6,22,7,21
QB,24,6,15,12,27
QB,24,2,15,10,22
QB,24,5,26,12,23
QB,24,6,8,2,37786
QB,24,1,12,2,33785
QB,24,4,2,5,3068
QB,24,5,11,5,1755
QB,24,7,17,8,260
QB,24,2,17,5,1507
QB,24,5,1,5,3461
QB,24,1,24,3,6400
QB,24,8,10,5,2004
QB,24,4,9,8,222
QB,24,5,5,8,65
QB,24,7,25,14,167
QB,24,5,20,8,184
QB,24,3,9,12,31
QB,24,8,16,7,45
QB,24,5,6,11,27
QB,24,1,14,7,23
QB,24,2,13,11,28
QB,25,3,26,3,1774
QB,24,6,9,14,9
QB,24,1,18,2,33748
QB,24,5,28,2,29214
QB,24,5,12,3,3239
QB,24,7,8,3,6207
QB,24,2,15,7,67
QB,24,8,16,12,62
QB,24,7,30,6,696
QB,24,3,13,1,90
QB,24,5,30,1,104
QB,24,5,6,12,27
QB,25,1,5,2,14999
QB,24,5,23,12,67
QB,24,7,8,12,33
QB,24,1,26,7,52
QB,24,2,25,2,38304
QB,24,5,27,2,29523
QB,24,1,4,5,3465
QB,24,6,28,10,30
QB,24,2,13,6,532
QB,24,3,19,6,614
QB,24,4,9,1,122
QB,24,4,25,12,39
QB,24,5,2,10,24
QB,24,6,25,12,51
QB,24,6,26,14,215
QB,24,5,27,7,20
QB,24,7,29,1,98
QB,24,8,23,11,42
QB,24,5,19,1,112
QB,25,3,29,2,14374
QB,24,2,29,2,33020
QB,24,1,25,5,3108
QB,24,3,7,5,3364
QB,24,6,11,3,5951
QB,24,6,5,5,3547
QB,24,1,18,6,663
QB,24,1,7,1,16
QB,24,7,19,10,20
QB,24,1,9,12,42
QB,24,7,6,7,24
QB,24,5,4,12,31
QB,24,5,14,10,15
QB,24,4,12,12,13
QB,24,4,5,3,5332
QB,24,3,12,2,26873
QB,24,8,20,5,4083
QB,24,1,11,5,3414
QB,24,2,14,6,652
QB,24,2,5,9,1332
QB,24,6,27,1,120
QB,24,6,22,8,154
QB,24,2,2,7,50
QB,24,8,18,11,18
QB,24,4,3,11,32
QB,24,6,8,14,16
QB,24,6,14,4,301
QB,24,2,27,5,3396
QB,24,4,26,8,209
QB,24,8,16,14,85
QB,24,3,11,6,562
QB,24,5,13,1,97
QB,24,8,15,4,305
QB,24,5,27,1,41
QB,24,1,28,8,96
QB,24,4,7,8,77
QB,24,5,16,12,49
QB,24,7,24,11,44
QB,24,8,28,7,49
QB,24,5,22,11,39
QB,24,6,23,11,12
QB,24,5,17,2,28175
QB,24,7,25,3,6166
QB,24,5,9,9,480
QB,24,5,13,3,5666
QB,24,1,22,9,1351
QB,24,3,27,4,227
QB,24,6,10,6,636
QB,24,6,12,6,605
QB,24,3,3,8,79
QB,24,6,6,14,40
QB,24,3,22,4,203
QB,24,2,27,1,58
QB,24,2,26,7,66
QB,24,6,7,14,14
QB,24,7,24,10,9
QB,24,7,19,14,224
QB,24,8,12,2,30435
QB,24,6,6,6,696
QB,24,3,23,3,3601
QB,24,4,12,6,638
QB,24,5,10,8,211
QB,24,2,20,14,213
QB,24,6,15,9,660
QB,24,5,6,7,43
QB,24,4,30,10,20
QB,24,1,24,1,31
QB,24,8,21,10,11
QB,24,5,19,6,115
QB,24,1,16,5,2945
QB,24,8,1,6,662
QB,24,6,23,7,11
QB,24,6,8,12,38
QB,24,6,29,5,2039
QB,24,6,20,5,3555
QB,24,8,5,9,1455
QB,24,1,26,4,197
QB,24,3,20,1,43
QB,24,5,9,4,91
QB,24,3,19,12,26
QB,24,3,7,1,78
QB,24,7,30,11,42
QB,24,6,17,12,39
QB,25,3,16,3,1901
QB,24,6,22,2,37238
QB,24,4,10,3,5673
QB,24,7,7,2,37782
QB,24,5,6,2,31770
QB,24,1,11,6,658
QB,24,2,10,3,4073
QB,24,7,14,5,1100
QB,24,3,7,6,624
QB,24,8,23,4,261
QB,24,2,2,9,1333
QB,24,8,22,6,649
QB,24,7,25,11,43
QB,24,8,5,11,24
QB,24,3,16,8,119
QB,24,8,1,1,141
QB,24,6,13,7,40
QB,24,3,24,1,26
QB,24,2,12,12,34
QB,24,3,15,11,33
QB,24,1,16,2,29534
QB,24,6,10,5,3635
QB,24,8,4,3,3436
QB,24,3,20,5,3212
QB,24,1,27,4,183
QB,24,1,13,8,114
QB,24,6,10,8,197
QB,24,6,21,1,147
QB,24,1,22,12,31
QB,24,6,16,11,6
QB,25,1,13,3,2126
QB,24,7,21,11,9
QB,24,8,4,14,13
QB,24,3,17,2,37634
QB,24,1,15,2,34387
QB,24,8,25,3,3589
QB,24,5,31,5,3417
QB,24,3,3,5,1006
QB,24,2,16,8,321
QB,24,6,20,8,244
QB,24,4,8,1,68
QB,24,8,14,7,34
QB,24,2,3,8,154
QB,24,1,17,10,19
QB,24,3,29,11,34
QB,24,7,3,14,30
QB,24,5,31,12,49
QB,24,3,15,13,1
QB,24,8,24,2,39177
QB,24,2,29,3,6718
QB,24,6,14,5,3531
QB,24,3,21,9,1474
QB,24,5,22,5,3441
QB,24,2,12,9,1274
QB,24,8,31,5,2201
QB,24,3,27,6,678
QB,24,3,15,6,582
QB,24,1,1,9,243
QB,24,2,5,4,210
QB,24,1,28,4,143
QB,24,3,31,6,82
QB,24,1,27,14,81
QB,24,4,5,6,631
QB,24,7,4,8,25
QB,24,6,23,9,445
QB,24,1,28,12,17
QB,24,6,8,11,15
QB,24,1,8,7,34
QB,24,1,1,12,9
QB,24,6,18,2,33559
QB,24,6,29,6,297
QB,24,3,7,3,5884
QB,24,2,7,12,58
QB,24,7,26,6,655
QB,24,3,5,4,209
QB,24,2,26,11,26
QB,24,4,24,7,49
QB,24,5,27,4,175
QB,24,8,6,11,51
QB,24,6,10,14,27
QB,24,5,6,10,27
QB,24,5,18,11,22
QB,24,7,10,7,2
QB,24,6,14,11,37
QB,24,2,7,11,46
QB,24,3,8,2,28549
QB,24,8,23,6,694
QB,24,4,6,5,1686
QB,24,5,7,6,736
QB,24,3,4,4,206
QB,24,7,26,7,35
QB,24,8,12,7,35
QB,24,3,13,11,32
QB,24,5,12,7,17
QB,24,1,3,14,21
QB,24,2,3,3,4368
QB,24,8,12,5,3624
QB,24,1,13,9,528
QB,24,5,16,8,221
QB,24,8,2,8,266
QB,24,6,12,4,236
QB,24,4,28,8,78
QB,24,3,19,11,52
QB,24,4,30,11,32
QB,24,8,22,12,66
QB,24,6,6,7,43
QB,24,1,21,4,131
QB,24,8,21,2,31476
QB,24,8,25,1,123
QB,24,4,27,3,4231
QB,24,1,12,3,6235
QB,24,2,17,6,310
QB,25,2,2,2,14875
QB,24,5,1,1,152
QB,24,8,19,14,54
QB,24,8,29,11,38
QB,24,1,31,10,14
QB,24,8,9,12,54
QB,24,7,30,14,18
QB,24,6,9,12,17
QB,24,1,13,11,1
QB,24,4,12,2,28215
QB,24,3,27,9,1433
QB,24,1,1,3,3473
QB,24,2,2,10,15
QB,24,2,20,8,256
QB,24,8,7,3,5843
QB,24,1,19,9,1289
QB,24,7,21,9,466
QB,24,7,6,6,257
QB,24,5,22,4,277
QB,24,1,27,8,142
QB,24,4,10,6,616
QB,24,3,22,11,31
QB,24,7,22,11,24
QB,24,1,19,7,39
QB,24,1,12,14,15
QB,24,6,29,10,17
QB,24,6,9,7,10
QB,24,7,16,9,1517
QB,24,2,16,4,227
QB,24,8,22,8,323
QB,24,2,9,7,42
QB,24,5,7,12,42
QB,24,1,20,9,624
QB,24,2,17,1,12
QB,24,5,23,7,44
QB,25,3,6,3,2239
QB,24,5,11,1,87
QB,25,1,29,2,11094
QB,24,3,29,1,61
QB,24,3,15,7,31
