direction,year,month,day,class,class_count
SIB,20,9,21,9,1157
SIB,20,10,22,5,1121
SIB,20,3,12,5,1863
SIB,20,7,20,6,1216
SIB,20,10,26,1,153
SIB,20,5,18,7,178
SIB,20,1,28,8,601
SIB,20,11,6,6,1095
SIB,20,12,14,4,143
SIB,20,10,10,1,136
SIB,20,12,19,9,70
SIB,20,2,5,12,14
SIB,20,6,6,1,439
SIB,20,6,30,12,84
SIB,20,3,2,4,392
SIB,20,7,6,4,196
SIB,20,10,19,10,160
SIB,20,7,14,10,301
SIB,20,5,15,11,73
SIB,20,12,15,2,35709
SIB,20,8,6,3,8451
SIB,20,3,29,2,20013
SIB,20,8,1,2,56231
SIB,20,1,9,1,800
SIB,20,11,7,8,277
SIB,20,10,8,9,1252
SIB,20,4,8,6,564
SIB,20,5,9,9,360
SIB,20,11,1,5,384
SIB,20,7,31,7,204
SIB,20,2,6,1,1057
SIB,20,4,25,5,318
SIB,20,11,19,4,228
SIB,20,9,23,12,24
SIB,20,7,20,13,55
SIB,20,5,16,2,39241
SIB,20,4,28,2,37480
SIB,20,1,20,2,45743
SIB,20,1,7,8,571
SIB,20,8,3,3,8163
SIB,20,10,4,4,140
SIB,20,10,9,8,552
SIB,20,8,13,8,523
SIB,20,7,17,10,334
SIB,20,5,19,5,1683
SIB,20,10,2,6,608
SIB,20,8,12,9,1200
SIB,20,2,23,1,242
SIB,20,5,10,6,92
SIB,20,9,9,4,261
SIB,20,8,26,9,1330
SIB,20,7,19,4,120
SIB,20,2,21,7,314
SIB,20,11,21,1,225
SIB,20,9,25,10,154
SIB,20,12,15,7,340
SIB,20,7,26,7,29
SIB,20,1,19,10,1
SIB,20,1,31,13,11
SIB,20,11,6,7,273
SIB,20,7,18,4,130
SIB,20,7,9,11,36
SIB,20,10,8,10,182
SIB,20,2,28,11,55
SIB,20,4,14,2,30763
SIB,20,7,8,2,38355
SIB,20,1,7,3,7859
SIB,20,1,28,3,8801
SIB,20,8,20,1,601
SIB,20,1,23,6,1172
SIB,20,12,28,5,396
SIB,20,2,2,8,168
SIB,20,2,17,10,40
SIB,20,2,10,11,48
SIB,20,12,29,4,100
SIB,20,8,22,7,51
SIB,20,11,2,10,95
SIB,20,11,23,1,694
SIB,20,1,29,3,7868
SIB,20,9,21,7,309
SIB,20,3,31,8,443
SIB,20,4,21,5,1384
SIB,20,8,19,6,761
SIB,20,8,7,9,1135
SIB,20,6,18,5,1777
SIB,20,10,24,3,3087
SIB,20,4,16,5,1071
SIB,20,3,27,11,57
SIB,20,12,1,1,965
SIB,20,6,23,5,1950
SIB,20,9,29,8,248
