direction,year,month,day,class,class_count,year_month_day,pre_post_bool,month_day
QB,21,4,10,9,747,210410,0,410
QB,21,4,10,12,1,210410,0,410
QB,21,4,10,7,10,210410,0,410
QB,21,4,10,3,4856,210410,0,410
QB,21,4,11,2,44918,210411,0,411
QB,21,4,11,6,100,210411,0,411
QB,21,4,11,3,3338,210411,0,411
QB,21,4,11,4,114,210411,0,411
QB,21,4,11,7,6,210411,0,411
QB,21,4,11,11,16,210411,0,411
QB,21,4,11,5,542,210411,0,411
QB,21,4,11,13,2,210411,0,411
QB,21,4,11,9,410,210411,0,411
QB,21,4,11,1,29,210411,0,411
QB,21,4,11,8,185,210411,0,411
QB,21,4,12,2,42977,210412,0,412
QB,21,4,12,1,82,210412,0,412
QB,21,4,12,5,2005,210412,0,412
QB,21,4,12,4,204,210412,0,412
QB,21,4,12,9,1609,210412,0,412
QB,21,4,12,3,7665,210412,0,412
QB,21,4,12,11,29,210412,0,412
QB,21,4,12,6,805,210412,0,412
QB,21,4,12,10,86,210412,0,412
QB,21,4,12,8,411,210412,0,412
QB,21,4,12,13,9,210412,0,412
QB,21,4,12,12,1,210412,0,412
QB,21,4,12,7,53,210412,0,412
QB,21,4,13,3,7583,210413,0,413
QB,21,4,13,8,494,210413,0,413
QB,21,4,13,5,2081,210413,0,413
QB,21,4,13,1,115,210413,0,413
QB,21,4,13,7,63,210413,0,413
QB,21,4,13,2,41963,210413,0,413
QB,21,4,13,12,1,210413,0,413
QB,21,4,13,9,1711,210413,0,413
QB,21,4,13,11,47,210413,0,413
QB,21,4,13,6,996,210413,0,413
QB,21,4,13,4,252,210413,0,413
QB,21,4,13,13,10,210413,0,413
QB,21,4,13,10,70,210413,0,413
QB,21,4,14,10,59,210414,0,414
QB,21,4,14,5,1200,210414,0,414
QB,21,4,14,11,28,210414,0,414
QB,21,4,14,1,47,210414,0,414
QB,21,4,14,4,119,210414,0,414
QB,21,4,14,12,2,210414,0,414
QB,21,4,14,13,3,210414,0,414
QB,21,4,14,3,4180,210414,0,414
QB,21,4,14,2,18478,210414,0,414
QB,21,4,14,9,1192,210414,0,414
QB,21,4,14,8,325,210414,0,414
QB,21,4,14,7,57,210414,0,414
QB,21,4,14,6,601,210414,0,414
QB,21,4,20,9,1736,210420,0,420
QB,21,4,20,12,2,210420,0,420
QB,21,4,20,3,7692,210420,0,420
QB,21,4,20,11,48,210420,0,420
QB,21,4,20,13,10,210420,0,420
QB,21,4,20,7,98,210420,0,420
QB,21,4,20,4,214,210420,0,420
QB,21,4,20,10,86,210420,0,420
QB,21,4,20,2,42126,210420,0,420
QB,21,4,20,8,508,210420,0,420
QB,21,4,20,6,991,210420,0,420
QB,21,4,20,5,2090,210420,0,420
QB,21,4,20,1,88,210420,0,420
QB,21,4,21,2,42911,210421,0,421
QB,21,4,21,4,268,210421,0,421
QB,21,4,21,11,54,210421,0,421
QB,21,4,21,12,5,210421,0,421
QB,21,4,21,9,1711,210421,0,421
QB,21,4,21,3,7556,210421,0,421
QB,21,4,21,1,123,210421,0,421
QB,21,4,21,5,2004,210421,0,421
QB,21,4,21,7,121,210421,0,421
QB,21,4,21,6,955,210421,0,421
QB,21,4,21,10,52,210421,0,421
QB,21,4,21,8,487,210421,0,421
QB,21,4,22,5,2029,210422,0,422
QB,21,4,22,12,8,210422,0,422
QB,21,4,22,6,934,210422,0,422
QB,21,4,22,3,7248,210422,0,422
QB,21,4,22,10,83,210422,0,422
QB,21,4,22,8,467,210422,0,422
QB,21,4,22,4,230,210422,0,422
QB,21,4,22,1,128,210422,0,422
QB,21,4,22,7,92,210422,0,422
QB,21,4,22,13,10,210422,0,422
QB,21,4,22,11,60,210422,0,422
QB,21,4,22,2,40931,210422,0,422
QB,21,4,22,9,1735,210422,0,422
QB,21,4,23,6,957,210423,0,423
QB,21,4,23,5,2039,210423,0,423
QB,21,4,23,2,42916,210423,0,423
QB,21,4,23,13,9,210423,0,423
QB,21,4,23,10,100,210423,0,423
QB,21,4,23,4,247,210423,0,423
QB,21,4,23,12,2,210423,0,423
QB,21,4,23,9,1668,210423,0,423
QB,21,4,23,3,7235,210423,0,423
QB,21,4,23,7,82,210423,0,423
QB,21,4,23,8,496,210423,0,423
QB,21,4,23,11,59,210423,0,423
QB,21,4,23,1,123,210423,0,423
QB,21,4,24,4,188,210424,0,424
QB,21,4,24,1,69,210424,0,424
QB,21,4,24,8,331,210424,0,424
QB,21,4,24,6,364,210424,0,424
QB,21,4,24,3,5179,210424,0,424
QB,21,4,24,9,790,210424,0,424
QB,21,4,24,11,37,210424,0,424
QB,21,4,24,5,1098,210424,0,424
QB,21,4,24,10,31,210424,0,424
QB,21,4,24,7,14,210424,0,424
QB,21,4,24,13,5,210424,0,424
QB,21,4,24,12,1,210424,0,424
QB,21,4,24,2,51047,210424,0,424
QB,21,4,25,7,16,210425,0,425
QB,21,4,25,5,638,210425,0,425
QB,21,4,25,13,2,210425,0,425
QB,21,4,25,3,3664,210425,0,425
QB,21,4,25,4,125,210425,0,425
QB,21,4,25,8,175,210425,0,425
QB,21,4,25,9,456,210425,0,425
QB,21,4,25,10,2,210425,0,425
QB,21,4,25,1,43,210425,0,425
QB,21,4,25,2,49779,210425,0,425
QB,21,4,25,6,107,210425,0,425
QB,21,4,25,11,15,210425,0,425
QB,21,4,26,3,7198,210426,0,426
QB,21,4,26,11,26,210426,0,426
QB,21,4,26,8,374,210426,0,426
QB,21,4,26,6,883,210426,0,426
QB,21,4,26,12,3,210426,0,426
QB,21,4,26,10,74,210426,0,426
QB,21,4,26,5,1959,210426,0,426
QB,21,4,26,13,5,210426,0,426
QB,21,4,26,9,1504,210426,0,426
QB,21,4,26,4,286,210426,0,426
QB,21,4,26,1,181,210426,0,426
QB,21,4,26,2,40715,210426,0,426
QB,21,4,26,7,69,210426,0,426
QB,21,4,27,12,3,210427,0,427
QB,21,4,27,4,193,210427,0,427
QB,21,4,27,6,932,210427,0,427
QB,21,4,27,13,7,210427,0,427
QB,21,4,27,7,65,210427,0,427
QB,21,4,27,5,2059,210427,0,427
QB,21,4,27,1,58,210427,0,427
QB,21,4,27,11,57,210427,0,427
QB,21,4,27,3,7284,210427,0,427
QB,21,4,27,10,80,210427,0,427
QB,21,4,27,9,1779,210427,0,427
QB,21,4,27,8,503,210427,0,427
QB,21,4,27,2,40006,210427,0,427
QB,21,4,28,7,64,210428,0,428
QB,21,4,28,3,7102,210428,0,428
QB,21,4,28,13,10,210428,0,428
QB,21,4,28,4,203,210428,0,428
QB,21,4,28,8,449,210428,0,428
QB,21,4,28,11,49,210428,0,428
QB,21,4,28,9,1747,210428,0,428
QB,21,4,28,1,98,210428,0,428
QB,21,4,28,2,39919,210428,0,428
QB,21,4,28,6,993,210428,0,428
QB,21,4,28,5,1997,210428,0,428
QB,21,4,28,12,6,210428,0,428
QB,21,4,28,10,84,210428,0,428
QB,21,4,29,4,289,210429,0,429
QB,21,4,29,6,932,210429,0,429
QB,21,4,29,9,1668,210429,0,429
QB,21,4,29,12,3,210429,0,429
QB,21,4,29,1,143,210429,0,429
QB,21,4,29,5,2131,210429,0,429
QB,21,4,29,7,87,210429,0,429
QB,21,4,29,2,41661,210429,0,429
QB,21,4,29,10,81,210429,0,429
QB,21,4,29,8,473,210429,0,429
QB,21,4,29,11,63,210429,0,429
QB,21,4,29,3,7780,210429,0,429
QB,21,4,29,13,9,210429,0,429
QB,21,4,30,13,7,210430,0,430
QB,21,4,30,3,7476,210430,0,430
QB,21,4,30,4,205,210430,0,430
QB,21,4,30,2,43850,210430,0,430
QB,21,4,30,5,2082,210430,0,430
QB,21,4,30,12,7,210430,0,430
QB,21,4,30,7,99,210430,0,430
QB,21,4,30,6,913,210430,0,430
QB,21,4,30,8,471,210430,0,430
QB,21,4,30,9,1601,210430,0,430
QB,21,4,30,11,47,210430,0,430
QB,21,4,30,10,81,210430,0,430
QB,21,4,30,1,93,210430,0,430
QB,21,5,1,9,812,210501,0,501
QB,21,5,1,2,50797,210501,0,501
QB,21,5,1,8,312,210501,0,501
QB,21,5,1,4,122,210501,0,501
QB,21,5,1,13,4,210501,0,501
QB,21,5,1,1,45,210501,0,501
QB,21,5,1,7,11,210501,0,501
QB,21,5,1,10,8,210501,0,501
QB,21,5,1,6,354,210501,0,501
QB,21,5,1,5,1046,210501,0,501
QB,21,5,1,11,25,210501,0,501
QB,21,5,1,3,5140,210501,0,501
QB,21,5,2,1,30,210502,0,502
QB,21,5,2,4,139,210502,0,502
QB,21,5,2,5,625,210502,0,502
QB,21,5,2,9,483,210502,0,502
QB,21,5,2,8,160,210502,0,502
QB,21,5,2,2,50223,210502,0,502
QB,21,5,2,3,3776,210502,0,502
QB,21,5,2,10,6,210502,0,502
QB,21,5,2,11,18,210502,0,502
QB,21,5,2,7,4,210502,0,502
QB,21,5,2,6,116,210502,0,502
QB,21,5,2,12,3,210502,0,502
QB,21,5,3,5,1994,210503,0,503
QB,21,5,3,2,39036,210503,0,503
QB,21,5,3,7,78,210503,0,503
QB,21,5,3,6,848,210503,0,503
QB,21,5,3,12,1,210503,0,503
QB,21,5,3,11,29,210503,0,503
QB,21,5,3,1,109,210503,0,503
QB,21,5,3,10,75,210503,0,503
QB,21,5,3,13,5,210503,0,503
QB,21,5,3,4,244,210503,0,503
QB,21,5,3,8,381,210503,0,503
QB,21,5,3,9,1570,210503,0,503
QB,21,5,3,3,7169,210503,0,503
QB,21,5,4,6,1008,210504,0,504
QB,21,5,4,3,7850,210504,0,504
QB,21,5,4,7,76,210504,0,504
QB,21,5,4,5,2184,210504,0,504
QB,21,5,4,8,515,210504,0,504
QB,21,5,4,12,2,210504,0,504
QB,21,5,4,13,6,210504,0,504
QB,21,5,4,1,101,210504,0,504
QB,21,5,4,9,1683,210504,0,504
QB,21,5,4,10,83,210504,0,504
QB,21,5,4,2,42161,210504,0,504
QB,21,5,4,4,218,210504,0,504
QB,21,5,4,11,58,210504,0,504
QB,21,5,5,12,2,210505,0,505
QB,21,5,5,8,478,210505,0,505
QB,21,5,5,13,13,210505,0,505
QB,21,5,5,9,1633,210505,0,505
QB,21,5,5,6,861,210505,0,505
QB,21,5,5,10,85,210505,0,505
QB,21,5,5,7,78,210505,0,505
QB,21,5,5,3,7350,210505,0,505
QB,21,5,5,5,2114,210505,0,505
QB,21,5,5,4,241,210505,0,505
QB,21,5,5,1,96,210505,0,505
QB,21,5,5,2,41438,210505,0,505
QB,21,5,5,11,55,210505,0,505
QB,21,5,6,8,464,210506,0,506
QB,21,5,6,13,9,210506,0,506
QB,21,5,6,11,64,210506,0,506
QB,21,5,6,4,287,210506,0,506
QB,21,5,6,1,127,210506,0,506
QB,21,5,6,2,41747,210506,0,506
QB,21,5,6,7,70,210506,0,506
QB,21,5,6,9,1636,210506,0,506
QB,21,5,6,10,89,210506,0,506
QB,21,5,6,3,7774,210506,0,506
QB,21,5,6,5,2204,210506,0,506
QB,21,5,6,12,3,210506,0,506
QB,21,5,6,6,911,210506,0,506
QB,21,5,7,11,55,210507,0,507
QB,21,5,7,2,45102,210507,0,507
