direction,year,month,day,class,class_count,year_month_date_type_int,year_month_date,week_day
QB,19,10,24,3,4819,191024,2019-10-24,433
QB,19,10,24,9,1342,191024,2019-10-24,433
QB,19,10,24,6,771,191024,2019-10-24,433
QB,19,10,24,11,38,191024,2019-10-24,433
QB,19,10,24,7,145,191024,2019-10-24,433
QB,19,10,24,13,2,191024,2019-10-24,433
QB,19,10,24,2,38662,191024,2019-10-24,433
QB,19,10,24,12,1,191024,2019-10-24,433
QB,19,10,24,8,321,191024,2019-10-24,433
QB,19,10,25,6,1166,191025,2019-10-25,434
QB,19,10,25,3,7696,191025,2019-10-25,434
QB,19,10,25,12,3,191025,2019-10-25,434
QB,19,10,25,7,142,191025,2019-10-25,434
QB,19,10,25,2,45302,191025,2019-10-25,434
QB,19,10,25,10,130,191025,2019-10-25,434
QB,19,10,25,5,2059,191025,2019-10-25,434
QB,19,10,25,13,8,191025,2019-10-25,434
QB,19,10,25,11,43,191025,2019-10-25,434
QB,19,10,25,8,404,191025,2019-10-25,434
QB,19,10,25,9,1733,191025,2019-10-25,434
QB,19,10,25,4,500,191025,2019-10-25,434
QB,19,10,25,1,246,191025,2019-10-25,434
QB,19,10,26,11,44,191026,2019-10-26,435
QB,19,10,26,12,1,191026,2019-10-26,435
QB,19,10,26,1,93,191026,2019-10-26,435
QB,19,10,26,6,430,191026,2019-10-26,435
QB,19,10,26,2,48120,191026,2019-10-26,435
QB,19,10,26,13,4,191026,2019-10-26,435
QB,19,10,26,4,484,191026,2019-10-26,435
QB,19,10,26,10,54,191026,2019-10-26,435
QB,19,10,26,3,5342,191026,2019-10-26,435
QB,19,10,26,9,663,191026,2019-10-26,435
QB,19,10,26,8,209,191026,2019-10-26,435
QB,19,10,26,5,1072,191026,2019-10-26,435
QB,19,10,26,7,27,191026,2019-10-26,435
QB,19,10,27,4,489,191027,2019-10-27,436
QB,19,10,27,2,45147,191027,2019-10-27,436
QB,19,10,27,6,108,191027,2019-10-27,436
QB,19,10,27,9,403,191027,2019-10-27,436
QB,19,10,27,8,124,191027,2019-10-27,436
QB,19,10,27,3,3414,191027,2019-10-27,436
QB,19,10,27,1,48,191027,2019-10-27,436
QB,19,10,27,10,3,191027,2019-10-27,436
QB,19,10,27,7,4,191027,2019-10-27,436
QB,19,10,27,11,25,191027,2019-10-27,436
QB,19,10,27,5,610,191027,2019-10-27,436
QB,19,10,28,4,395,191028,2019-10-28,440
QB,19,10,28,10,137,191028,2019-10-28,440
QB,19,10,28,1,73,191028,2019-10-28,440
QB,19,10,28,8,409,191028,2019-10-28,440
QB,19,10,28,2,44449,191028,2019-10-28,440
QB,19,10,28,7,128,191028,2019-10-28,440
QB,19,10,28,11,35,191028,2019-10-28,440
QB,19,10,28,6,930,191028,2019-10-28,440
QB,19,10,28,13,11,191028,2019-10-28,440
QB,19,10,28,5,2160,191028,2019-10-28,440
QB,19,10,28,12,7,191028,2019-10-28,440
QB,19,10,28,9,1920,191028,2019-10-28,440
QB,19,10,28,3,8093,191028,2019-10-28,440
QB,19,10,29,5,2174,191029,2019-10-29,441
QB,19,10,29,12,1,191029,2019-10-29,441
QB,19,10,29,8,507,191029,2019-10-29,441
QB,19,10,29,4,449,191029,2019-10-29,441
